"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"493","ethyl glucuronide","Xenobiotics","Chemical",0.0267506593932349,-0.228727711037886,0.278781694424312,0.839223270545735,0.978057183043045,""
"494","1-lignoceroyl-GPC (24:0)","Lipid","Lysophospholipid",0.226056515304018,-0.0295652732066109,0.453925300225074,0.0824311136176188,0.828516919036565,""
"495","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipid","Lysoplasmalogen",0.190570757333957,-0.0665755787971549,0.42397885869613,0.144701045862685,0.831141825375282,""
"496","1-methyl-5-imidazoleacetate","Amino Acid","Histidine Metabolism",-0.0215794580617627,-0.274002746672362,0.233625408195013,0.870001549406646,0.978607017649618,""
"497","glycoursodeoxycholate","Lipid","Secondary Bile Acid Metabolism",-0.051928423542277,-0.301872660370736,0.204695373534024,0.693551180579706,0.960981009182483,""
"498","S-methylcysteine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",-0.165036088406912,-0.402109684942224,0.0927765778940863,0.207621030422762,0.831141825375282,""
"499","(14 or 15)-methylpalmitate (a17:0 or i17:0)","Lipid","Fatty Acid, Branched",-0.12397772237999,-0.366368767329031,0.134170812205985,0.345285340906968,0.899254835843615,""
"500","eicosanedioate (C20-DC)","Lipid","Fatty Acid, Dicarboxylate",-0.01869535299106,-0.271331984958054,0.236351359412428,0.887254082099383,0.985647226590267,""
"501","docosadioate (C22-DC)","Lipid","Fatty Acid, Dicarboxylate",-0.040676130159673,-0.291589103700856,0.2154741343898,0.757644275105062,0.971250083747139,""
"502","16-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",-0.106065829069388,-0.350549280910932,0.151951338326103,0.419909393142666,0.918229385496248,""
"503","oleoyl-linoleoyl-glycerol (18:1/18:2) [1]","Lipid","Diacylglycerol",-0.194185085118586,-0.427052515558969,0.0628380608989088,0.137093517852852,0.831141825375282,""
"504","oleoyl-linoleoyl-glycerol (18:1/18:2) [2]","Lipid","Diacylglycerol",-0.219632649905605,-0.448542090293494,0.0363174842360673,0.0917695628886903,0.828516919036565,""
"505","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipid","Lysoplasmalogen",0.0443030700477308,-0.212006631462865,0.294910138421551,0.736783186706584,0.971250083747139,""
"506","1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipid","Lysoplasmalogen",0.181522536770921,-0.0759006589702273,0.416260519679694,0.165121331591673,0.831141825375282,""
